Player_Name,Games_Played,Goals,Assists,Yellow_Card,Red_Card
Robert Lewandowski,34,23,8,0,0
Raphinha,36,7,7,0,0
Ansu Fati,36,7,3,0,0
Pedri,26,6,1,2,0
Ousmane Dembélé,25,5,7,0,0
Ferran Torres,33,4,2,0,0
Sergi Roberto,23,4,1,3,0
Gavi,36,2,4,10,0
Frenkie de Jong,33,2,4,3,0
Jordi Alba,24,2,3,5,1
Álex Balde,33,1,6,4,0
Jules Koundé,29,1,3,2,0
Franck Kessié,28,1,1,4,0
Eric García,24,1,0,3,0
Marcos Alonso,24,1,0,3,0
Andreas Christensen,23,1,1,2,0
Marc-André ter Stegen,38,0,0,0,0
Sergio Busquets,30,0,4,7,1
Ronald Araújo,22,0,2,6,1
Pablo Torre,8,0,0,0,0
Gerard Piqué,6,0,0,0,0
Ángel Alarcón,4,0,0,0,0
Héctor Bellerín,3,0,0,0,0
Iñaki Peña,2,0,0,0,0
Arnau Tenas,0,0,0,1,0
Aleix Garrido,1,0,0,0,0
Marc Casadó,0,0,0,0,0
Unai Hernandez,0,0,0,0,0
Chadi Riad,1,0,0,0,0
Ander Astralaga,0,0,0,0,0
